case_id,ticker,name,exchange,case_layer,category,industry,sector,chain,style,risk,allowed_in_research,allowed_in_paper,allowed_in_real_trade
CORE_001,600519,贵州茅台,SSE,CORE,白马蓝筹,食品饮料,消费,白酒,quality,low,TRUE,FALSE,FALSE
CORE_002,300750,宁德时代,SZSE,CORE,成长制造,电力设备,新能源,电池,growth,high,TRUE,FALSE,FALSE
CORE_003,688981,中芯国际,SSE,CORE,科技硬核,电子,半导体,代工,tech,high,TRUE,FALSE,FALSE
CORE_004,601899,紫金矿业,SSE,CORE,周期资源,有色金属,矿业,金铜,cyclical,high,TRUE,FALSE,FALSE
CORE_005,300124,汇川技术,SZSE,CORE,智能制造,机械设备,自动化,工控,growth,medium,TRUE,FALSE,FALSE
CORE_006,002594,比亚迪,SZSE,CORE,成长制造,汽车,新能源车,整车电池,growth,high,TRUE,FALSE,FALSE
CORE_007,300274,阳光电源,SZSE,CORE,新能源链条,电力设备,储能,逆变器,growth,high,TRUE,FALSE,FALSE
CORE_008,002371,北方华创,SZSE,CORE,科技硬核,电子,半导体设备,设备,tech,high,TRUE,FALSE,FALSE
CORE_009,600030,中信证券,SSE,CORE,金融Beta,非银金融,证券,券商,beta,high,TRUE,FALSE,FALSE
CORE_010,600276,恒瑞医药,SSE,CORE,白马蓝筹,医药生物,创新药,研发,quality,medium,TRUE,FALSE,FALSE
CORE_011,002050,三花智控,SZSE,CORE,智能制造,家用电器,热管理,机器人,growth,high,TRUE,FALSE,FALSE
CORE_012,300763,锦浪科技,SZSE,CORE,新能源链条,电力设备,逆变器,分布式,growth,high,TRUE,FALSE,FALSE
EXP_001,000858,五粮液,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_002,000333,美的集团,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_003,000651,格力电器,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_004,601318,中国平安,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_005,600036,招商银行,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_006,600309,万华化学,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_007,600887,伊利股份,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_008,601398,工商银行,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_009,603986,兆易创新,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_010,300661,圣邦股份,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_011,688012,中微公司,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_012,688008,澜起科技,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_013,688111,金山办公,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_014,688256,寒武纪,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_015,300308,中际旭创,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_016,002230,科大讯飞,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_017,603993,洛阳钼业,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_018,600547,山东黄金,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_019,000975,山金国际,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_020,000807,云铝股份,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_021,600111,北方稀土,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_022,002466,天齐锂业,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_023,002460,赣锋锂业,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_024,600489,中金黄金,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_025,601012,隆基绿能,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_026,002129,TCL中环,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_027,688223,晶科能源,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_028,603806,福斯特,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_029,688599,天合光能,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_030,002812,恩捷股份,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_031,002747,埃斯顿,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_032,603960,克来机电,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_033,002472,双环传动,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_034,000988,华工科技,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_035,002008,大族激光,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_036,300024,机器人,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_037,688017,绿的谐波,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_038,603728,鸣志电器,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_039,601688,华泰证券,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_040,600837,海通证券,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_041,601788,光大证券,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_042,000776,广发证券,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_043,601166,兴业银行,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_044,601601,中国太保,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_045,600031,三一重工,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_046,000425,徐工机械,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_047,000625,长安汽车,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_048,600741,华域汽车,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_049,002475,立讯精密,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_050,002415,海康威视,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_051,002241,歌尔股份,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_052,601600,中国铝业,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_053,600585,海螺水泥,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_054,000002,万科A,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_055,000338,潍柴动力,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_056,002352,顺丰控股,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_057,601888,中国中免,SSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_058,300059,东方财富,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_059,000001,平安银行,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
EXP_060,002594,比亚迪,SZSE,EXPANSION,,,,,,TRUE,FALSE,FALSE
FAIL_VALUATION_001,,,,FAILURE,失败/反例,,,,,,高估值杀跌,高估值成长股遭遇估值坍缩,TRUE,FALSE,FALSE
FAIL_VALUATION_002,,,,FAILURE,失败/反例,,,,,,戴维斯双杀,盈利下滑+估值下修同时发生,TRUE,FALSE,FALSE
FAIL_VALUATION_003,,,,FAILURE,失败/反例,,,,,,成长股估值坍缩,高增长预期消失后估值快速回落,TRUE,FALSE,FALSE
FAIL_CYCLE_001,,,,FAILURE,失败/反例,,,,,,周期顶部买入,在商品/行业景气顶点入场,TRUE,FALSE,FALSE
FAIL_CYCLE_002,,,,FAILURE,失败/反例,,,,,,商品价格反转,商品价格突然反转导致利润崩塌,TRUE,FALSE,FALSE
FAIL_CYCLE_003,,,,FAILURE,失败/反例,,,,,,产能扩张利润下滑,行业产能过剩导致价格战,TRUE,FALSE,FALSE
FAIL_POLICY_001,,,,FAILURE,失败/反例,,,,,,政策压制,行业政策突然收紧,TRUE,FALSE,FALSE
FAIL_POLICY_002,,,,FAILURE,失败/反例,,,,,,集采限价,医药集采导致价格大幅下降,TRUE,FALSE,FALSE
FAIL_POLICY_003,,,,FAILURE,失败/反例,,,,,,出口管制,被列入实体清单导致业务中断,TRUE,FALSE,FALSE
FAIL_FINANCE_001,,,,FAILURE,失败/反例,,,,,,商誉减值,并购商誉大幅减值,TRUE,FALSE,FALSE
FAIL_FINANCE_002,,,,FAILURE,失败/反例,,,,,,应收账款恶化,应收/营收比持续上升,TRUE,FALSE,FALSE
